rank,wallet,edge_type,cluster,hl_core_pnl_usd,hl_winrate,hl_active_days,evm_early_survivors,evm_early_n,evm_held_usd,tags,twitter,cross_chain,confidence,evidence,action
34,0x77746ff04a7014752ab12d81d531aa5e50775343,COPY_FIT,,634415,0.81,73,,,,,,,0.6,"HL Core realized $634,415, winrate 0.81, 73/108 active days, 84 fills/day, 7% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
35,0x34d7b1c11bebf407af7f67f08249a174d1316a6a,COPY_FIT,,622843,0.74,85,,,,PM-owner HL-tagged individual,,,0.7,"HL Core realized $622,843, winrate 0.74, 85/108 active days, 348 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
36,0xa4beb4fbe651b00bc16d472e2e1aa1c26b3d90aa,COPY_FIT,,619672,0.96,72,,,,HL-tagged @jvpmamede,@jvpmamede,yes,0.7,"HL Core realized $619,672, winrate 0.96, 72/108 active days, 268 fills/day, 7% spot. Cross-chain: bsc 43 since 2021-01 + eth 32 since 2020-11. OG trader since 2020 (@jvpmamede).. NOTE: winrate>=0.95 = possible martingale (hidden left tail)",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
37,0xb5e7dee094dae809f2775caf07c4d4fde863eff1,COPY_FIT,,618409,0.94,106,,,,HL-tagged,,,0.6,"HL Core realized $618,409, winrate 0.94, 106/108 active days, 273 fills/day, 36% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
38,0xbe4e91ae63090eeb4165dfcfc35db3a4eb76e75e,COPY_FIT,,616929,0.97,101,,,,PM-owner HL-tagged,,yes,0.7,"HL Core realized $616,929, winrate 0.97, 101/108 active days, 128 fills/day, 0% spot. Cross-chain: eth 7 since 2020-10, last 2025-09. OG since 2020.. NOTE: winrate>=0.95 = possible martingale (hidden left tail)",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
39,0x11eee2e0a613af4f636e23ff295e2dac6a191d1d,COPY_FIT,,569157,0.92,108,,,,HL-tagged,,,0.6,"HL Core realized $569,157, winrate 0.92, 108/108 active days, 354 fills/day, 9% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
40,0x675462411d40a169c3397ac1dc00786dc9c7d3a1,COPY_FIT,,550371,0.64,99,,,,PM-owner HL-tagged individual,,,0.7,"HL Core realized $550,371, winrate 0.64, 99/108 active days, 216 fills/day, 0% spot",COPYTRADE candidate: mirror perp entries fixed-fraction; paper-verify 2-4 wks before scaling
41,0xa2a85ea4db18e55129eb0079ed260828137eb98b,EARLY_HUNTER,,0,0,0,3,5,49646,,,,0.6,"3 survivor-verified early entries of 5 (wr 0.6); held $49,646. e.g. EARNY(+75.2m, cap $202k); HYPURR(+46.2m, cap $334k); MORPHOE(+46.2m, cap $122k)","Early-buy WATCH (higher risk): alert on their fresh-token entries, mirror small, exit into pump"
42,0x556eafb36db5a02e496f317976a890adab976514,EARLY_HUNTER,,0,0.2,1,3,6,326,,,,0.45,"3 survivor-verified early entries of 6 (wr 0.5); held $326. e.g. MOTION(+9.0m, cap $259k); HYPURR(+21.9m, cap $334k); MAX(+18.1m, cap $107k)","Early-buy WATCH (higher risk): alert on their fresh-token entries, mirror small, exit into pump"
43,0xfebca641e193bc9f67dea00952838ddd12ae7708,EARLY_HUNTER,,0,0,0,2,6,1560,,,,0.45,"2 survivor-verified early entries of 6 (wr 0.83); held $1,560. e.g. MOTION(+60.4m, cap $259k); MAX(+63.9m, cap $107k)","Early-buy WATCH (higher risk): alert on their fresh-token entries, mirror small, exit into pump"
44,0xb1fe8d7274efcad6571f11465709a7df0521b2a9,EARLY_HUNTER,,0,0,0,2,5,3182,,,,0.45,"2 survivor-verified early entries of 5 (wr 0.6); held $3,182. e.g. MOTION(+15.8m, cap $259k); MAX(+11.4m, cap $107k)","Early-buy WATCH (higher risk): alert on their fresh-token entries, mirror small, exit into pump"
45,0x2759575a90f4df27df06c4818027fd2a793f016c,EARLY_HUNTER,,0,0,0,1,5,3180,,,,0.45,"1 survivor-verified early entries of 5 (wr 0.8); held $3,180. e.g. MAX(+10.6m, cap $107k)","Early-buy WATCH (higher risk): alert on their fresh-token entries, mirror small, exit into pump"
46,0xb69fbfd47bcc51c2deb0587bd88f52e1c40238e5,SPOT_WHALE,,15762467,0.94,8,,,,,,,0.6,"HL spot realized $15,762,467 (100% spot, 8 active days) = distributing accumulated spot inventory (insider/whale), NOT directional alpha",Insider/whale WATCH (do NOT copy): their spot SELLING = distribution/top warning on that asset
47,0x17a4ce9320bec0ac79420f0af19848044a469d8d,SPOT_WHALE,,12762494,0.94,36,,,,HL-tagged,,,0.6,"HL spot realized $12,762,494 (100% spot, 36 active days) = distributing accumulated spot inventory (insider/whale), NOT directional alpha",Insider/whale WATCH (do NOT copy): their spot SELLING = distribution/top warning on that asset
48,0xdeb0b9c1e1b234981c4731ea927c464449c1ade2,SPOT_WHALE,,5711164,0.72,55,,,,HL-tagged,,,0.6,"HL spot realized $5,711,164 (99% spot, 55 active days) = distributing accumulated spot inventory (insider/whale), NOT directional alpha",Insider/whale WATCH (do NOT copy): their spot SELLING = distribution/top warning on that asset
49,0x06ecb2a427c3d51a66c29d9b4fb1960107d10b19,SPOT_WHALE,,4393010,0.93,15,,,,,,,0.6,"HL spot realized $4,393,010 (100% spot, 15 active days) = distributing accumulated spot inventory (insider/whale), NOT directional alpha",Insider/whale WATCH (do NOT copy): their spot SELLING = distribution/top warning on that asset
50,0xfa0f450d61acd11bc0f6a986260fc25c1758ccb9,SPOT_WHALE,,3902208,0.89,9,,,,HL-tagged,,,0.6,"HL spot realized $3,902,208 (100% spot, 9 active days) = distributing accumulated spot inventory (insider/whale), NOT directional alpha",Insider/whale WATCH (do NOT copy): their spot SELLING = distribution/top warning on that asset
