rank,wallet,hl_realized_pnl_usd,winrate,active_days,fills,fills_per_day,avg_fill_usd,spot_pct,quality_score,tags,cross_chain
42,0x2eb4e287f1cf4801ca3768104fc6253c626b3401,420748,0.664,98,14700,150,820,24,1115,,
43,0x70b37757f0344b28ef207d86eada7ca051138153,568209,0.532,92,17827,194,1236,2,1112,HL-tagged,
44,0xcb7b6dd3b61c438746d998a4237d7c4cb4eb1efe,388340,0.511,97,7024,72,361,0,1108,,
45,0xb947763b6e64b4441b02562a63fda94f6b805162,387699,0.687,97,13832,143,1455,6,1090,,
46,0x42fd5648cf21c158d15e4f58785760755b3f6623,645005,0.608,97,24800,256,3735,0,1087,,
47,0x03fb2d4401575453307c53015abafbb69c62e254,386999,0.792,75,7683,102,1942,12,1082,,
48,0x6bc443fafe325f3b9d1cb10f7b07f2705067e759,399012,0.74,90,15565,173,780,5,1079,,
49,0x135097a80cc35350acc31f4c0f04bfde52a58f6a,605520,0.633,99,28046,283,980,3,1075,HL-tagged,
50,0xf9cf7bae980ce7b3b20aab6d4f31e317e409d679,224955,0.814,97,8575,88,139,56,1073,,
51,0xb215c5a6fa4335147185ba2f03ea79c5a4eec70c,782058,0.664,82,19725,241,6619,0,1069,,
52,0x80fb5880f38185661962e475ac1557817dc9faea,311408,0.597,98,8106,83,1157,13,1068,,
53,0xf220c9b7b4c0e5e785ebe4b40b17576ce24473e0,560993,0.856,69,13546,196,7701,0,1066,,
54,0x10b6f072fabe21bc72ffd77ff5d4414e6cef2980,431512,0.712,73,5619,77,14131,0,1049,,
55,0xb294964ceb670a21d34693da52a39c9837dd651f,240977,0.836,89,3740,42,1851,1,1046,,
56,0x8fbb1aad00013c4e32bb033337b7cb792ab2fc4e,434336,0.863,76,9169,121,4279,3,1038,,
57,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,792510,0.767,73,15325,210,5605,0,1037,,
58,0x675462411d40a169c3397ac1dc00786dc9c7d3a1,550371,0.639,99,21345,216,686,0,1029,PM-owner HL-tagged individual,
59,0xeff7fe671d9a7acf86f48994bc5d5161042415b6,339379,0.693,103,15959,155,9523,0,1025,,
60,0x52a1ac3717f8173bd175a4c1923594ed6110142d,425176,0.798,98,21375,218,6493,0,1021,,
61,0x9abb9d9c10d1512148e9e0074547f0e6785c84d8,415032,0.562,96,14873,155,14790,0,1018,,
62,0x62cd732421df4824f53a59c422b519bb97e8fd51,487967,0.695,97,23529,243,1176,0,1013,,
63,0xcd2123d3f00325fa83b2743ed85844f8d4bb9826,282740,0.574,97,10387,107,671,0,999,,
64,0xcaaacd1e5f394da3e5006edc7c05fd7bfdc5764b,230966,0.925,99,19699,199,5682,0,997,,
65,0x166866a2845506f6b4c817482fe53b4985882ea6,448478,0.68,82,10589,129,2962,2,995,,
66,0xec89639d883a9ff2086c6deb0d766064b5bbea03,343661,0.791,86,14980,174,552,49,993,,
67,0xec9045405a878d01cdb836f82a6dd2abd49a169c,420655,0.672,72,7205,100,7228,0,990,,
68,0xff7c935b9835d700188a05333d6f7e1e06146a79,304229,0.703,101,13544,134,918,0,978,,
69,0x3927af597c09774f91ef84bf765ded4109e9f8ea,389908,0.785,108,28233,261,464,29,969,,
